,tdhkn_number,tdhkn_kanji,tdhkn_yomi,ave_ping,ave_download,ave_upload,first_prov,first_prov_ping,first_prov_download,first_prov_upload,second_prov,second_prov_ping,second_prov_download,second_prov_upload,third_prov,third_prov_ping,third_prov_download,third_prov_upload
0,1,北海道,hokkaido,25.2,407.67,315.98,NURO光,18.16,880.12,782.19,NCV光,19.29,722.92,510.68,ahamo光,25.85,690.32,707.43
1,2,青森県,aomori,21.36,305.1,249.49,auひかり,22.28,416.57,443.59,GMO光アクセス(GMOとくとくBB光),22.87,365.42,261.24,ドコモ光,20.93,306.51,241.16
2,3,岩手県,iwate,19.79,270.07,226.78,GMO光アクセス(GMOとくとくBB光),21.66,479.04,234.96,auひかり,18.4,421.53,427.27,楽天ひかり,17.56,329.06,288.3
3,4,宮城県,miyagi,16.14,384.3,347.0,NURO光,14.84,1285.45,1095.45,GMO光アクセス(GMOとくとくBB光),15.17,527.38,395.27,ソフトバンク光,14.93,411.77,358.74
4,5,秋田県,akita,21.2,322.74,243.07,auひかり,19.24,499.36,480.54,CNAひかり(秋田ケーブルテレビ),15.75,462.65,368.89,ビッグローブ光,17.14,360.31,228.41
5,6,山形県,yamagata,19.35,311.73,272.39,NCV光,13.15,531.54,403.98,auひかり,17.99,433.92,416.09,ソフトバンク光,15.55,342.76,308.37
6,7,福島県,fukushima,16.88,520.11,366.21,NCV光,10.52,2389.82,1225.01,NURO光,18.22,1016.38,1053.18,auひかり,15.63,452.56,439.37
7,8,茨城県,ibaraki,12.66,397.72,382.63,NURO光,9.48,711.29,614.57,JWAY光,8.86,618.65,564.14,ビッグローブ光,11.26,444.46,401.88
8,9,栃木県,tochigi,13.31,426.44,381.52,excite MEC光,10.93,723.24,419.93,UCATV光(宇都宮ケーブルテレビ),8.13,709.07,656.12,NURO光,9.33,660.14,604.74
9,10,群馬県,gunma,14.46,380.38,342.78,NURO光,8.74,673.74,593.68,auひかり,12.07,403.88,397.88,ソフトバンク光,13.1,377.63,386.83
10,11,埼玉県,saitama,10.23,476.18,472.59,enひかりクロス,8.25,1508.42,1624.23,auひかり,8.39,795.43,740.41,NURO光,6.72,697.16,612.86
11,12,千葉県,chiba,10.41,461.9,449.8,enひかりクロス,8.02,1325.21,1777.79,auひかり,8.77,721.13,699.76,J:COM NET光,11.59,651.79,480.88
12,13,東京都,tokyo,9.37,473.29,489.97,enひかりクロス,7.82,1369.02,1747.95,auひかり,7.69,751.82,764.44,NURO光,6.51,714.63,650.66
13,14,神奈川県,kanagawa,10.46,468.95,446.61,enひかりクロス,9.08,1248.37,1394.01,auひかり,8.82,784.19,753.9,J:COM NET光,10.87,685.01,627.93
14,15,新潟県,niigata,17.87,619.35,411.88,NCT光(長岡ケーブルテレビ),14.01,751.7,648.34,JCV光ネット (上越ケーブルビジョン),12.42,494.32,526.88,NCV光,14.85,488.53,556.64
15,16,富山県,toyama,22.6,342.63,291.6,ミタスト光,18.46,500.9,631.29,TST光(となみ衛星通信テレビ),16.27,424.75,463.58,auひかり,24.07,402.81,420.61
16,17,石川県,ishikawa,24.53,315.51,266.34,ケーブル光(金沢ケーブルテレビネット),13.98,793.81,760.41,tvk光ネット(テレビ小松),14.89,467.21,452.39,auひかり,22.16,399.39,402.66
17,18,福井県,fukui,19.66,338.12,284.84,こしの都ネットワーク nextr光(丹南ケーブルテレビ),13.77,505.92,395.41,けーぶるちゃん。光,14.59,431.22,417.63,みねっと光(RCN),15.04,401.08,338.23
18,19,山梨県,yamanashi,13.47,301.18,280.01,auひかり,12.3,460.43,484.16,ビッグローブ光,9.13,369.11,357.42,ソフトバンク光,12.51,326.69,294.6
19,20,長野県,nagano,17.31,385.26,323.87,LCVひかり de ネット,8.62,669.67,421.2,auひかり,16.96,478.7,393.89,コミュファ光,16.88,464.4,442.62
20,21,岐阜県,gifu,17.92,518.52,426.81,コミュファ光ゲーミングカスタム,13.27,1439.62,1277.17,コミュファ光,17.6,739.65,631.01,NURO光,13.8,637.26,627.03
21,22,静岡県,shizuoka,22.01,477.8,405.59,コミュファ光ゲーミングカスタム,12.22,1399.44,1320.17,コミュファ光,16.73,765.81,648.64,@nifty光,24.94,623.85,539.28
22,23,愛知県,aichi,15.98,557.61,539.8,コミュファ光ゲーミングカスタム,8.92,1347.09,1957.1,クローバーテレビ 光,10.24,1130.97,617.98,コミュファ光,11.34,745.83,752.83
23,24,三重県,mie,18.22,508.16,439.92,コミュファ光,12.76,797.32,676.04,CTY光,12.23,694.57,605.17,NURO光,13.58,643.5,651.58
24,25,滋賀県,shiga,19.19,499.05,536.7,eo光,16.57,780.32,889.32,NURO光,15.51,631.93,623.72,ビッグローブ光,18.61,425.76,306.3
